Código do SIORG,Nome,Sigla,Tipo de Instituição,Pais,Estado,Cidade,Esfera,Poder,Natureza Jurídica,SISP,CNPJ
104667,Universidade Federal do Oeste do Pará ,UFOPA,Pública,Brasil,PA,Santarém,Federal,Executivo,Autarquia,Sim,11.118.393/0001-59
415,Universidade Federal do Pará ,UFPA,Pública,Brasil,PA,Belém,Federal,Executivo,Autarquia,Sim,34.621.748/0001-23
428,Universidade Federal do Paraná ,UFPR,Pública,Brasil,PR,Curitiba,Federal,Executivo,Autarquia,Sim,75.095.679/0001-49
84710,Universidade Federal do Recôncavo da Bahia ,UFRB,Pública,Brasil,BA,Cruz das Almas,Federal,Executivo,Autarquia,Sim,07.777.800/0001-62
426,Universidade Federal do Rio de Janeiro ,UFRJ,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,33.663.683/0001-16
417,Universidade Federal do Rio Grande do Norte ,UFRN,Pública,Brasil,RN,Natal,Federal,Executivo,Autarquia,Sim,24.365.710/0001-83
430,Universidade Federal do Rio Grande do Sul ,UFRGS,Pública,Brasil,RS,Porto Alegre,Federal,Executivo,Autarquia,Sim,92.969.856/0001-98
122381,Universidade Federal do Sul e Sudeste do Pará ,UNIFESSPA,Pública,Brasil,PA,Marabá,Federal,Executivo,Autarquia,Sim,18.657.063/0001-80
459,Universidade Federal do Triângulo Mineiro ,UFTM,Pública,Brasil,MG,Uberaba,Federal,Executivo,Autarquia,Sim,25.437.484/0002-42
460,Universidade Federal dos Vales do Jequitinhonha e Mucuri ,UFVJM,Pública,Brasil,MG,Diamantina,Federal,Executivo,Autarquia,Sim,16.888.315/0001-57
427,Universidade Federal Fluminense ,UFF ,Pública,Brasil,RJ,Niterói,Federal,Executivo,Autarquia,Sim,28.523.215/0001-06
457,Universidade Federal Rural da Amazônia ,UFRA,Pública,Brasil,PA,Belém,Federal,Executivo,Autarquia,Sim,05.200.001/0001-01
433,Universidade Federal Rural de Pernambuco ,UFRPE,Pública,Brasil,PE,Recife,Federal,Executivo,Autarquia,Sim,24.416.174/0001-06
432,Universidade Federal Rural do Rio de Janeiro ,UFRRJ,Pública,Brasil,RJ,Seropédica,Federal,Executivo,Autarquia,Sim,29.427.465/0001-05
458,Universidade Federal Rural do Semi-Árido ,UFERSA-RN,Pública,Brasil,RN,Mossoró,Federal,Executivo,Autarquia,Sim,24.529.265/0001-40
454,Universidade Tecnológica Federal do Paraná ,UTFPR,Pública,Brasil,PR,Curitiba,Federal,Executivo,Autarquia,Sim,75.101.873/0001-90
